Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee
Situation familiale,Personnes seules,5677,5677,0,5677,4377057.8898
Situation familiale,Couples sans enfants,121,242,0,242,143085.89999
Situation familiale,Familles monoparentales,753,753,1316,2069,701739.41993
Situation familiale,Couples avec enfants,423,846,1121,1967,566881.40995
Situation familiale,Conjoint d'étudiant,18,18,0,18,13793.419999
Type de résidence,Locataire,2787,3214,1797,5011,2451012.4598
Type de résidence,Locataire HLM ou coopérative,218,249,191,440,189271.79999
Type de résidence,Chambreur ou pensionnaire,3647,3722,384,4106,2893843.7699
Type de résidence,Temporairement sans adresse,217,217,1,218,170122.79999
Type de résidence,Propriété,121,132,64,196,96693.209993
Type de résidence,En hébergement,2,2,0,2,1614
Région,01 - Bas-Saint-Laurent,117,124,38,162,96025.849995
Région,02 - Saguenay-Lac-Saint-Jean,190,197,45,242,145580.41999
Région,03 - Capitale-Nationale,583,648,354,1002,497622.78996
Région,04 - Mauricie,264,285,102,387,220364.50999
Région,05 - Estrie,471,520,201,721,403444.61997
Région,06 - Montréal,2127,2281,546,2827,1751752.7499
Région,07 - Outaouais,525,569,199,768,442287.02998
Région,08 - Abitibi-Témiscamingue,75,82,28,110,61823.769997
Région,09 - Côte-Nord,41,46,21,67,34442.369997
Région,10 - Nord-du-Québec,10,11,4,15,8663
Région,11 - Gaspésie-Îles-de-la-Madeleine,64,64,13,77,48531.669998
Région,12 - Chaudière-Appalaches,216,229,50,279,173359.25999
Région,13 - Laval,359,398,113,511,306107.06999
Région,14 - Lanaudière,350,367,103,470,282969.04998
Région,15 - Laurentides,376,400,140,540,310436.70998
Région,16 - Montérégie,914,972,294,1266,751877.63997
Région,17 - Centre-du-Québec,309,341,184,525,266045.52998
Région,Région inconnue,1,2,2,4,1224
Clientèle supplémentée,Allocations_aide_emploi,116,122,169,291,76658.709996
Clientèle supplémentée,Allocations_soutien,0,0,0,0,0
Clientèle supplémentée,Revenus_travail,323,323,114,437,214843.09995
Clientèle supplémentée,Prestations_assurance_emploi,45,45,18,63,35510.579999
Clientèle supplémentée,Contribution_parentale,0,0,0,0,0
Clientèle supplémentée,Pension_alimentaire,138,138,250,388,123958.19999
Clientèle supplémentée,RRQ_invalidite,0,0,0,0,0
Clientèle supplémentée,RRQ_retraite,68,69,15,84,37608.069974
Clientèle supplémentée,Revenus_autres,115,114,65,179,70346.579982
Clientèle supplémentée,Total_distinct,771,781,582,1363,535938.63989
